fiscal_year_label,fiscal_year,fiscal_year_is_partial,month_abbr,month_num,calendar_year,calendar_month_label,calendar_month_start,component,region,land_filter,branch,branch_type,drug_type,count_of_event,sum_qty_lbs,source_file
2021,2021,false,JAN,1,2021,2021-01,2021-01-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,1,0.05,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,JAN,1,2021,2021-01,2021-01-01,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Other,Fentanyl,1,0.0,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,JAN,1,2021,2021-01,2021-01-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,2,0.09,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,FEB,2,2021,2021-02,2021-02-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,1,1.07,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,FEB,2,2021,2021-02,2021-02-01,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,1,0.06,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,FEB,2,2021,2021-02,2021-02-01,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,2,0.31,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,FEB,2,2021,2021-02,2021-02-01,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Air Branch,Fentanyl,1,0.36,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,FEB,2,2021,2021-02,2021-02-01,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Other,Fentanyl,1,14.64,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,FEB,2,2021,2021-02,2021-02-01,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Air Branch,Fentanyl,4,32.22,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,MAR,3,2021,2021-03,2021-03-01,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Air Branch,Fentanyl,3,90.41,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,MAR,3,2021,2021-03,2021-03-01,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marine Branch,Fentanyl,11,98.7,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,MAR,3,2021,2021-03,2021-03-01,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marine Branch,Fentanyl,1,0.01,amo-drug-seizures-fy19-fy22.csv
2021,2021,false,MAR,3,2021,2021-03,2021-03-01,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marine Branch,Fentanyl,2,4.630000000000001,amo-drug-seizures-fy19-fy22.csv
