state_abbr,state_name,year,hs6,shipment_records,total_quantity_kg,total_value_usd
OH,Ohio,2017,283911,1,5.0,636.206
OH,Ohio,2017,284150,1,20.0,1435.223
OH,Ohio,2017,284290,1,1.0,155.185
OH,Ohio,2017,292800,1,0.0,63.245
OH,Ohio,2017,293354,1,0.0,78.073
OH,Ohio,2017,293499,1,0.0,394.98
OH,Ohio,2017,382200,1,1.0,37.574
PA,Pennsylvania,2017,170230,1,10.0,226.361
PA,Pennsylvania,2017,280920,2,1100.0,731.1351
PA,Pennsylvania,2017,281420,1,1000.0,2144.41552734375
PA,Pennsylvania,2017,281511,1,1000.0,2144.41552734375
PA,Pennsylvania,2017,282090,1,10.0,1454.706
PA,Pennsylvania,2017,282550,1,3.0,468.268
PA,Pennsylvania,2017,282619,1,50.0,2155.071
PA,Pennsylvania,2017,282739,1,5.0,348.199
PA,Pennsylvania,2017,282759,1,0.0,1259.059
PA,Pennsylvania,2017,283319,1,0.0,505.735
PA,Pennsylvania,2017,283329,2,236.0,2723.359
PA,Pennsylvania,2017,284169,1,25.0,1849.914
PA,Pennsylvania,2017,284290,1,25.0,569.093
PA,Pennsylvania,2017,285000,1,220.0,11590.023
PA,Pennsylvania,2017,290110,1,1000.0,2908.062744140625
PA,Pennsylvania,2017,290511,1,1000.0,2144.41552734375
PA,Pennsylvania,2017,290549,1,100.0,731.1351
PA,Pennsylvania,2017,291524,3,300.0,1176.90454
PA,Pennsylvania,2017,291711,1,50.0,1297.063
PA,Pennsylvania,2017,292141,1,25.0,771.387
PA,Pennsylvania,2017,382200,7,10.0,1407.216
PA,Pennsylvania,2017,382499,2,11000.0,6064.34556328125
PA,Pennsylvania,2017,392330,1,361.0,2507.025
PA,Pennsylvania,2017,392350,2,146.0,1829.7440000000001
PA,Pennsylvania,2017,701090,2,450.0,3603.1431000000002
PA,Pennsylvania,2017,741999,1,0.0,485.581
PA,Pennsylvania,2017,820570,1,21.0,13.186
PA,Pennsylvania,2017,902780,1,21.0,183.748
PA,Pennsylvania,2017,902790,1,0.0,820.808
TN,Tennessee,2017,291550,2,158055.0,200203.992
TN,Tennessee,2017,291732,1,78199.0,103273.016
TX,Texas,2017,220710,1,20094.0,21236.702
TX,Texas,2017,271012,20,1186116.0,1150912.798
TX,Texas,2017,280610,5,5988.0,86100.024
TX,Texas,2017,290531,1,84033.0,85763.657
TX,Texas,2017,290621,8,121550.0,399400.564
TX,Texas,2017,290943,3,58760.0,73545.22899999999
TX,Texas,2017,291422,1,20339.0,46026.161
TX,Texas,2017,291612,2,39912.0,54878.985
TX,Texas,2017,381400,1,20330.0,14697.611
TX,Texas,2017,392330,2,2160.0,1807.382
TX,Texas,2017,731100,1,1325.0,10000.0
TX,Texas,2017,732690,1,1325.0,2499.972
WA,Washington,2017,290323,1,19800.0,14850.004
WA,Washington,2017,290611,1,2000.0,37999.991
WI,Wisconsin,2017,280920,2,1100.0,2989.01806640625
WI,Wisconsin,2017,281420,1,1000.0,0.0
WI,Wisconsin,2017,281511,1,1000.0,2197.2958984375
WI,Wisconsin,2017,282510,1,75.0,2653.743
WI,Wisconsin,2017,290110,1,1000.0,3789.386962890625
WI,Wisconsin,2017,290511,1,1000.0,2197.2958984375
WI,Wisconsin,2017,290539,1,10000.0,13796.46484375
WI,Wisconsin,2017,291524,3,300.0,2034.32275390625
WI,Wisconsin,2017,294000,1,100.0,0.0
WI,Wisconsin,2017,382499,1,1000.0,1477.7308349609375
WI,Wisconsin,2017,701090,1,100.0,800.3623046875
AL,Alabama,2018,293590,3,300000.0,44769.708984375
CA,California,2018,280038,16,1927380.0,415800.587890625
CO,Colorado,2018,271012,1,1363.0,6142.068
CO,Colorado,2018,280920,1,349.0,1860.137
CO,Colorado,2018,281910,1,5.0,775.745
CO,Colorado,2018,282739,1,50.0,3469.883
CO,Colorado,2018,282751,1,1.0,692.97
CO,Colorado,2018,283529,1,0.0,930.622
CO,Colorado,2018,283640,1,20.0,700.623
CO,Colorado,2018,283650,1,10.0,442.931
CO,Colorado,2018,284170,1,50.0,3662.624
CO,Colorado,2018,290110,1,1363.0,4431.521
CO,Colorado,2018,290313,1,1280.0,5632.424
CO,Colorado,2018,291711,1,100.0,2517.56
CO,Colorado,2018,291811,1,8.0,198.128
CO,Colorado,2018,291813,1,1.0,102.815
CO,Colorado,2018,291819,2,1.0,190.978
CO,Colorado,2018,292242,1,10.0,499.977
CO,Colorado,2018,320412,2,2.0,365.593
CO,Colorado,2018,340213,1,5.0,113.54
CO,Colorado,2018,382200,2,30.0,1447.4679999999998
CO,Colorado,2018,392350,1,25.0,632.751
CO,Colorado,2018,690919,1,3.0,404.664
CO,Colorado,2018,701090,2,89.0,761.597
CO,Colorado,2018,790111,1,15.0,932.888
FL,Florida,2018,280300,1,0.0,21959.999999999996
FL,Florida,2018,285000,3,570.0,30020.960999999996
FL,Florida,2018,290110,2,23200.0,81605.99100000001
FL,Florida,2018,290514,1,0.0,56480.679
FL,Florida,2018,290542,1,0.0,14233.5
FL,Florida,2018,292690,1,0.0,10405.378
FL,Florida,2018,292910,10,240000.0,874399.9909999999
FL,Florida,2018,293359,1,0.0,1870.2449999999997
FL,Florida,2018,381230,1,16800.0,36959.986
FL,Florida,2018,390720,21,559310.0,1115383.06
FL,Florida,2018,392390,3,30.0,9.642
FL,Florida,2018,780110,1,0.0,51008.16
IL,Illinois,2018,170191,1,100000.0,65560.671875
IL,Illinois,2018,284020,1,100000.0,12364.892578125
IL,Illinois,2018,290420,1,1021.0,2160.899
IL,Illinois,2018,382312,2,146875.0,144359.985
IN,Indiana,2018,282580,1,3000.0,25371.961
LA,Louisiana,2018,293090,1,100000.0,0.0
LA,Louisiana,2018,381239,1,0.0,24806.4
